,Entity_id,related_from,related_to_entity_id,related_to_term
0,102,etoposide,100,low-dose
1,102,etoposide,101,oral
2,102,etoposide,103,50
3,102,etoposide,104,mg/day
4,102,etoposide,105,q28
5,108,pain,107,back
6,11,pyothorax,10,chronic
7,113,CT,112,Chest
8,14,vital signs,16,normal
9,15,oxygen saturation,16,normal
10,17,SpO2,18,96
11,17,SpO2,19,%
12,21,examination,20,chest
13,22,mass,21,examination
14,22,mass,23,back
15,24,pain,21,examination
16,26,breathing sounds,25,decreased
17,28,examination,29,normal
18,3,pain,2,back
19,33,C reactive protein,31,elevated
20,33,C reactive protein,32,levels
21,34,lactate dehydrogenase,31,elevated
22,35,LDH,31,elevated
23,39,X-ray,38,chest
24,4,pleural effusion,6,X-ray
25,40,pleural effusion,39,X-ray
26,41,mediastinal shift,39,X-ray
27,45,computed tomography,44,chest
28,46,CT,44,chest
29,47,irregular pleural mass,45,computed tomography
30,47,irregular pleural mass,46,CT
31,47,irregular pleural mass,48,chest wall
32,50,destruction,45,computed tomography
33,50,destruction,46,CT
34,50,destruction,49,rib
35,51,pleural effusion,45,computed tomography
36,51,pleural effusion,46,CT
37,52,mass,53,mediastinum
38,56,mass,55,chest wall
39,58,tumor,57,chest wall
40,6,X-ray,5,chest
41,65,white blood cells,63,81
42,65,white blood cells,64,%
43,67,fluid culture,68,negative
44,76,CD10,75,positive
45,77,CD20,75,positive
46,79,CD3,78,negative
47,80,CD5,78,negative
48,88,mass,84,PET/CT
49,88,mass,87,chest wall
50,89,malignant lymphoma,90,chest wall
51,95,pain,94,back
52,101,CD117,104,negative
53,103,LCA,104,negative
54,14,vital signs,15,within normal limits
55,17,heart rate,16,elevated
56,17,heart rate,18,98
57,17,heart rate,19,/min
58,2,hemoglobin,1,low
59,21,respiratory and abdominal examinations,22,unremarkable
60,24,hemoglobin level,23,low
61,24,hemoglobin level,25,5.1
62,24,hemoglobin level,26,g/dl
63,28,iron,27,low
64,28,iron,29,<10
65,28,iron,30,ug/dl
66,3,Hg,4,4.7
67,3,Hg,5,g/dl
68,32,occult blood test,31,positive
69,36,aspirate,35,Bone marrow
70,37,trephine biopsy,35,Bone marrow
71,37,trephine biopsy,38,normocellular marrow
72,40,hematopoiesis,39,trilineage
73,42,erosive antral gastritis,41,Upper GI endoscopy
74,43,ulcerative inflammation,41,Upper GI endoscopy
75,45,enlarged,44,Abdominal ultrasound
76,45,enlarged,46,liver
77,47,echogenic lesion,44,Abdominal ultrasound
78,47,echogenic lesion,48,right lobe
79,49,hemangioma,44,Abdominal ultrasound
80,51,enlarged,50,spleen
81,53,Computed Tomography (CT) scan,54,abdomen
82,53,Computed Tomography (CT) scan,55,pelvis
83,57,mass,53,Computed Tomography (CT) scan
84,57,mass,56,soft tissue
85,57,mass,58,pelvis
86,57,mass,59,jejunal loops
87,61,thickening,60,bowel wall
88,64,jejunal mass,62,exploratory laparotomy
89,64,jejunal mass,63,excision
90,67,annular mass,65,Macroscopic examination
91,67,annular mass,68,jejunal wall
92,67,annular mass,70,mucosa
93,67,annular mass,71,serosal surface
94,69,ulcerating,65,Macroscopic examination
95,69,ulcerating,68,jejunal wall
96,69,ulcerating,70,mucosa
97,69,ulcerating,71,serosal surface
98,73,tumor,72,Microscopic examination
99,73,tumor,74,muscularis propria
100,73,tumor,75,mucosa
101,73,tumor,76,serosa
